   # ticker        messages        MB     cumMB
 409 CTSH           226,006      6.83   6588.04
 410 ENPH           225,253      6.83   6594.87
 411 KR             225,814      6.83   6601.69
 412 WMB            225,215      6.82   6608.52
 413 GS             220,528      6.82   6615.34
 414 HST            223,662      6.82   6622.16
 415 ZS             225,316      6.81   6628.97
 416 FAST           223,118      6.81   6635.77
 417 GRMN           227,917      6.81   6642.58
 418 RCAT           210,356      6.81   6649.39
 419 SPYD           228,698      6.80   6656.19
 420 INVH           224,807      6.79   6662.98
 421 FOXA           224,956      6.78   6669.76
 422 OPEN           220,867      6.78   6676.54
 423 RDVY           227,747      6.78   6683.32
 424 ETSY           221,579      6.77   6690.09
 425 COG            223,927      6.76   6696.86
 426 VLO            222,627      6.75   6703.60
 427 AXP            222,888      6.73   6710.34
 428 PAYX           223,042      6.73   6717.07
 429 FSLR           223,159      6.73   6723.80
 430 ERY            226,105      6.71   6730.52
 431 ABB            218,260      6.67   6737.19
 432 CURE           223,526      6.67   6743.86
 433 SWKS           221,171      6.66   6750.52
 434 SRTY           223,320      6.65   6757.17
 435 CARR           219,335      6.64   6763.81
 436 WY             218,534      6.62   6770.43
 437 PEAK           219,337      6.61   6777.04
 438 GIS            218,323      6.59   6783.63
 439 BBH            222,791      6.57   6790.20
 440 APO            215,000      6.56   6796.76
 441 PBF            216,822      6.55   6803.31
 442 ERIC           225,056      6.55   6809.86
 443 OCGN           214,959      6.52   6816.38
 444 LOW            215,989      6.52   6822.91
 445 IBB            217,475      6.51   6829.41
 446 HD             212,550      6.48   6835.89
 447 SCHH           215,748      6.46   6842.35
 448 CAT            213,484      6.46   6848.81
 449 NXPI           212,684      6.44   6855.25
 450 LVS            211,862      6.44   6861.69
 451 TJX            213,502      6.43   6868.12
 452 IYG            213,184      6.43   6874.55
 453 NOV            213,132      6.42   6880.97
 454 TECK           212,439      6.40   6887.37
 455 COIN           208,968      6.40   6893.77
 456 VIG            214,675      6.40   6900.17
 457 WORK           212,323      6.39   6906.56
 458 TCOM           209,641      6.38   6912.93
 459 FXI            211,126      6.37   6919.31
 460 YNDX           214,115      6.35   6925.66
 461 STLD           211,275      6.35   6932.01
 462 DUST           214,623      6.35   6938.36
 463 BKNG           183,846      6.33   6944.69
 464 RRC            207,866      6.31   6951.00
 465 TT             211,428      6.30   6957.31
 466 EXC            207,192      6.29   6963.59
 467 LUMN           204,873      6.27   6969.86
 468 UNP            205,399      6.26   6976.13
 469 SOFI           203,483      6.26   6982.39
 470 CMA            208,374      6.25   6988.64
 471 SBSW           202,307      6.23   6994.87
 472 LI             204,965      6.23   7001.10
 473 SPLV           210,384      6.23   7007.32
 474 HES            207,943      6.22   7013.54
 475 BBD            207,973      6.20   7019.74
 476 NTES           204,650      6.19   7025.93
 477 MNST           204,257      6.16   7032.09
 478 HRL            204,808      6.16   7038.24
 479 VOE            206,360      6.13   7044.37
 480 MCHP           202,598      6.13   7050.50
 481 UPST           197,331      6.12   7056.62
 482 HBI            202,087      6.12   7062.74
 483 MMM            203,219      6.11   7068.85
 484 DBX            200,697      6.10   7074.95
 485 VOD            207,876      6.09   7081.04
 486 SGOC           192,077      6.09   7087.13
 487 AMGN           194,327      6.05   7093.18
 488 EZU            202,772      6.05   7099.23
 489 LTHM           200,812      6.04   7105.27
 490 PNQI           191,149      6.04   7111.31
 491 VEA            201,800      6.03   7117.34
 492 MMAT           191,924      6.03   7123.38
 493 ICE            200,863      6.03   7129.41
 494 CRH            204,751      6.03   7135.44
 495 PFG            200,198      6.02   7141.46
 496 SPHB           202,734      6.02   7147.48
 497 IXUS           200,677      6.00   7153.48
 498 PK             197,945      5.98   7159.46
 499 CZR            197,463      5.97   7165.42
 500 GT             196,954      5.97   7171.39
